包含以下主要诊断:
B89.x00x002+G73.4* 寄生虫病并发肌病
G37.200 中枢性脑桥髓鞘破坏
G37.200x001 脑桥中央髓鞘溶解症
G37.200x002 脑桥外髓鞘溶解症
G37.300 中枢神经系统脱髓鞘病的急性横贯性脊髓炎
G37.400 亚急性坏死性脊髓炎
G37.500 同心性硬化[鲍洛]
G37.800 中枢神经系统其他特指的脱髓鞘疾病
G37.800x006 脱髓鞘假瘤
G37.801 炎性脱髓鞘性假瘤综合征
G37.802 脱髓鞘性白质脑病
G37.803 脱髓鞘性脑病
G37.804 脱髓鞘性脊髓病
G37.805 临床孤立综合征
G37.900 中枢神经系统脱髓鞘病
G37.901 脱髓鞘病
G50.803 三叉神经炎
G51.000 贝尔面瘫
G51.003 周围性面神经麻痹
G51.100 膝状神经节炎
G51.200 梅尔克松综合征
G51.201 梅尔克松-罗森塔尔综合征
G51.803 面神经炎
G52.204 喉返神经炎
G52.702 多发性脑神经炎
G52.800x006 枕大神经炎
G52.901 脑神经炎
G54.000x001 臂丛神经损害
G54.100x001 腰骶丛损害
G54.200x001 颈神经根损害
G54.300x001 胸神经根损害
G54.400x001 腰骶神经根损害
G56.203 尺神经炎
G57.100x001 股外侧皮神经炎
G57.901 下肢单神经炎
G58.002 肋间神经炎
G58.700 多发性单神经炎
G58.800x008 耳大神经痛
G58.801 枕大神经痛
G60.800x006 莫旺病[Morvan病]
G61.000 吉兰-巴雷[格林-巴利]综合征
G61.000x003 急性运动轴索性神经病
G61.000x004 急性炎性脱髓鞘性多发神经根神经病
G61.000x005 急性运动感觉轴索性神经病
G61.000x006 急性感觉神经病
G61.001 费舍综合征
G61.002 吉兰-巴雷综合征轴索型
G61.003 吉兰-巴雷综合征脱髓鞘型
G61.100 血清性神经病变
G61.800x003 获得性多灶性感觉运动神经病
G61.800x004 急性感觉运动神经病
G61.800x005 亚急性感觉神经病
G61.800x006 亚急性或慢性感觉运动神经病
G61.801 慢性炎症性脱髓鞘性多发性神经病
G61.900 炎性多神经病
G62.800x005 感觉神经元病
G62.800x007 血管炎相关神经病
G62.800x008 轴索性周围神经病
G62.800x009 小纤维神经病
G62.803 放射性多神经病
G62.804 运动性周围神经病
G62.805 混合性周围神经病
G62.806 感染性周围神经病
G62.807 免疫相关性周围神经病
G62.808 缺血性周围神经病
G62.809 创伤性周围神经病
G62.810 后天获得性周围神经病
G62.900 多神经病
G62.900x002 末梢神经病[末梢神经炎]
G62.900x004 炎性和中毒性神经病
G62.900x011 痛性周围神经病
G62.901 周围神经病
G62.908 多灶性感觉运动神经病
G62.909 多灶性运动神经病
G70.000 重症肌无力
G70.000x002 重症肌无力危象
G70.000x004 胆碱能危象
G70.000x005 反拗性危象
G70.001 重症肌无力,肌萎缩型
G70.002 重症肌无力,眼肌型
G70.003 重症肌无力,轻度全身型
G70.004 重症肌无力,中度全身型
G70.005 重症肌无力,急性重症型
G70.006 重症肌无力,迟发重症型
G70.007 肌无力危象
G70.008 儿童型重症肌无力
G70.200 先天性和发育性肌无力
G70.200x004 少年型重症肌无力
G70.200x005 儿童型重症肌无力,眼肌型
G70.201 先天性重症肌无力
G70.202 先天性肌无力综合征
G70.800x001 非癌性肌无力综合征
G70.900 肌神经疾患
G70.900x001 喉肌无力
G70.900x003 面肌肌无力
G70.901 肌无力综合征
G70.902 肌无力
G72.400 炎性肌病,不可归类在他处者
G72.401 包涵体肌炎
G72.403 散发性包涵体肌炎
G72.404 症状性炎性肌病
G72.800x006 风湿免疫病合并肌病
G72.800x007 杆状体肌病
G90.800x001 交感神经炎
H49.000 第三[动眼]神经麻痹
H49.100 第四[滑车]神经麻痹
H49.200 第六[展]神经麻痹
M32.106+G63.5* 狼疮性周围神经病
M33.102+G63.5* 皮肌炎性周围神经病
M35.009+G63.5* 干燥综合征性周围神经病
M35.900x002+G63.5* 胶原病性神经炎
M79.200x001 多部位神经炎
M79.204 神经束膜炎
M79.205 慢性类风湿性神经炎
M79.208 神经炎
包含以下主要手术或操作:
00.1801 单克隆抗体治疗
00.1802 多克隆抗体治疗
39.9500x004 血浆置换
39.9500x005 单膜血浆置换
39.9500x006 双膜血浆置换
99.1100 注射Rh免疫球蛋白
99.1401 免疫血清注射
99.2900x007 非抗肿瘤免疫治疗
99.7600 体外免疫吸附
